ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF18aaxeoqk,SN2019aarm,14:26:36.58,+15:24:06.3,2060.88,g,16.7247,-19.52,22.798,7.213,15.585,SN Ia,0.0396,64.98599633,0.065
ZTF20acpeldz,SN2020zgq,04:39:08.86,+23:30:53.7,1169.79,r,18.3098,-19.36,27.67,11.088,16.582,SN Ia,0.036,-15.2719651,2.047
ZTF22abnemvx,SN2022xno,09:24:38.44,+39:08:12.5,1880.93,g,18.0301,-19.20,26.678,9.711,16.967,SN Ia,0.063,45.69671186,0.035
ZTF20abgbwmt,SN2020ndv,23:09:38.09,+12:49:48.0,1032.98,g,16.8474,-19.34,26.777,7.873,18.904,SN Ia,0.035,-43.023529,0.242
ZTF22aakpvbx,SN2022kum,13:06:41.29,+09:37:34.1,1734.7,g,17.8844,-19.08,20.296,7.958,12.338,SN Ia,0.05487,72.13158401,0.065
ZTF23aahxdsi,SN2023gws,16:32:39.83,+26:59:51.3,2075.83,r,18.42,-19.37,24.962,11.837,13.125,SN Ia,0.078,41.17511053,0.148
ZTF20abeeahl,SN2020mdd,15:51:53.80,+34:04:24.2,1016.7,g,17.6198,-19.13,23.145,7.764,15.381,SN Ia,0.0488,50.8684864,0.098
ZTF22acadszu,SN2022aegz,06:53:51.93,+70:47:01.5,1951.78,r,18.1306,-19.27,22.98,8.996,13.984,SN Ia,0.058,25.70147701,0.467
ZTF21aarybxo,SN2021hyd,12:39:19.05,+00:17:18.4,1317.77,g,18.8771,-19.39,26.589,8.983,17.606,SN Ia,0.1,63.00267668,0.047
ZTF23aasyshb,SN2023nmj,01:15:15.76,-03:44:39.1,2159.97,r,18.4609,-19.08,25.531,14.009,11.522,SN Ia,0.07,-65.93317122,0.14
ZTF19adbnlki,SN2019ywf,02:58:42.28,+32:34:22.8,859.72,r,17.5451,-19.02,23.435,13.043,10.392,SN Ia,0.039,-23.06726103,0.516
ZTF23aafwvek,SN2023fwv,17:13:34.94,+35:49:00.3,2067.93,r,18.0771,-18.90,26.154,12.97,13.184,SN Ia,0.05537,34.45129307,0.083
ZTF23aaahuzb,SN2023qo,16:47:42.12,+44:54:17.7,1970.02,g,17.5804,-19.32,18.659,6.899,11.76,SN Ia,0.054,40.23562128,0.037
ZTF22aaoippk,SN2022nag,18:05:00.65,+09:28:47.8,1760.81,r,16.3769,-18.84,19.818,9.237,10.581,SN Ia,0.02095,14.57919791,0.527
ZTF20acpmxdg,SN2020aafx,05:45:48.47,+09:30:07.2,1176.9,r,18.6539,-19.02,26.53,14.557,11.973,SN Ia,0.05,-9.94293296,1.189
ZTF21aaugbus,SN2021jka,08:02:27.16,+70:27:24.8,1329.72,r,17.4016,-18.23,20.552,9.854,10.698,SN Ia,0.03,31.36561036,0.081
ZTF19acsbxgw,SN2019quv,12:51:24.98,+70:07:44.5,801.04,r,18.5875,-17.01,26.329,3.916,22.413,SN Ia,0.03,46.99934904,0.038
ZTF18aarbaba,SN2020mnu,18:03:01.30,+20:37:51.8,1025.87,r,18.2468,-19.09,17.928,8.965,8.963,SN Ia,0.0594,19.59213381,0.326
ZTF20aatvzmm,SN2020fob,07:43:08.80,+45:21:49.4,944.66,r,17.2291,-18.55,21.694,8.342,13.352,SN Ia,0.03151,27.66885528,0.135
ZTF20aavdgib,SN2020hwt,18:50:19.08,+61:31:49.5,968.92,r,18.9744,-19.37,28.776,11.782,16.994,SN Ia,0.1,23.76070248,0.161
ZTF18aasdted,SN2018big,17:25:39.15,+59:26:48.3,266.82,r,15.7176,-18.82,25.384,11.255,14.129,SN Ia,0.01815,33.92401221,0.082
ZTF22aanzrlh,SN2022mnz,17:03:30.90,+36:25:06.2,1755.77,g,16.023,-19.04,19.319,8.518,10.801,SN Ia,0.023,36.557687,0.067
ZTF20achksbc,SN2020vaf,19:23:55.60,+67:34:12.3,1139.7,g,18.6294,-19.27,23.246,10.614,12.632,SN Ia,0.076,21.93246974,0.248
ZTF20acusneh,SN2020abox,10:47:30.70,+03:07:28.3,1199.0,g,17.6158,-19.38,25.986,7.776,18.21,SN Ia,0.054,51.88145541,0.117
ZTF23aalqgpk,SN2023jil,12:12:56.89,+57:37:42.0,2099.69,g,18.1105,-19.19,31.504,8.227,23.277,SN Ia,0.06457,58.7515104,0.044
ZTF20aazpapu,SN2020jxr,19:40:46.88,+48:36:19.9,994.92,g,18.7772,-19.54,24.069,9.807,14.262,SN Ia,0.09,12.49433062,0.28
ZTF20abyjpxx,SN2020tdw,02:18:26.89,+45:59:27.9,1107.01,g,18.8784,-19.52,27.037,8.618,18.419,SN Ia,0.093,-14.26140705,0.286
ZTF20abefaya,SN2020mbb,15:05:37.85,-05:15:13.9,1022.7,g,18.6357,-19.68,28.212,12.189,16.023,SN Ia,0.093,44.17597666,0.217
ZTF20achadaa,SN2020var,22:04:06.85,-19:41:08.7,1138.71,g,17.0074,-19.09,22.868,7.946,14.922,SN Ia,0.0369,-51.07678584,0.069
ZTF19aaxibby,SN2019hbs,21:22:21.64,-12:48:49.0,653.88,g,18.2979,-18.82,25.4,13.14,12.26,SN Ia,0.056,-39.21214876,0.15
ZTF19abdqaao,SN2019kit,23:10:19.84,+22:47:49.4,677.98,r,18.353,-19.03,21.282,8.34,12.942,SN Ia,0.055,-34.41817818,0.589
ZTF18aahheaj,SN2018avp,13:00:26.51,+18:37:09.7,227.77,r,17.8655,-18.79,31.031,11.762,19.269,SN Ia,0.048,81.2425901,0.069
ZTF19aalcwjt,SN2019blm,08:39:20.18,+17:11:16.9,556.71,r,18.5718,-18.81,24.108,14.569,9.539,SN Ia,0.067,31.35997527,0.069
ZTF21abcouxj,SN2021nqm,13:26:53.64,+37:46:21.9,1372.7,g,17.8933,-19.31,23.043,7.943,15.1,SN Ia,0.06218,77.00527451,0.035
ZTF20acmafkf,SN2020yia,02:14:34.95,-06:38:02.6,1158.79,g,18.9491,-19.75,37.997,10.978,27.019,SN Ia,0.12,-61.54212183,0.072
ZTF19acwiqrc,SN2020zcg,00:07:06.20,+31:03:13.6,1167.83,g,17.4055,-19.38,22.415,9.54,12.875,SN Ia,0.048,-30.86384906,0.159
ZTF19adcdtyy,SN2019zho,10:50:29.27,+08:53:53.3,852.98,g,18.536,-19.04,25.425,10.517,14.908,SN Ia,0.072,56.11703533,0.074
ZTF23aaxvsjq,SN2023psp,19:40:29.38,+58:24:11.0,2185.72,r,18.9536,-19.12,18.314,11.288,7.026,SN Ia,0.087,16.8188929,0.207
ZTF21aadrtqz,SN2021abn,13:54:48.85,-13:36:30.8,1231.94,g,18.4018,-18.90,29.822,4.784,25.038,SN Ia,0.058,46.45650258,0.243
ZTF21acouzjv,SN2021aeqh,06:25:10.86,+36:43:16.9,1538.78,r,18.0146,-17.90,13.996,7.872,6.124,SN Ia,0.028,11.01667971,0.602
ZTF19aclofmz,SN2019uaf,02:10:01.75,+44:47:53.2,804.73,r,17.5356,-18.29,18.47,11.212,7.258,SN Ia,0.031,-15.87069339,0.223
ZTF23aaeeawl,SN2023emd,10:04:54.28,+37:21:26.4,2051.71,g,16.7533,-19.13,23.431,10.712,12.719,SN Ia,0.03372,53.650825,0.049
ZTF19acshfvz,SN2019uhp,01:47:48.22,+25:34:31.5,814.67,r,18.6051,-17.89,26.773,17.792,8.981,SN Ia,0.04,-35.57571899,0.358
ZTF23aakrngt,SN2023izm,14:43:08.87,+22:52:36.8,2098.7,g,18.1771,-19.30,22.904,12.307,10.597,SN Ia,0.06843,64.38960695,0.084
ZTF22abdtcki,SN2022sml,01:03:16.41,-10:14:18.1,1828.96,g,18.415,-19.58,26.382,6.497,19.885,SN Ia,0.087,-72.88136442,0.077
ZTF20actfeym,SN2020aaue,02:58:58.13,+09:57:51.4,1189.72,r,18.2364,-19.39,24.546,9.56,14.986,SN Ia,0.05590,-41.71418387,0.836
ZTF18aaxgwpl,SN2019aaoz,17:03:09.89,+59:39:36.7,1849.63,r,18.1202,-18.80,17.066,7.985,9.081,SN Ia,0.05453,36.73458345,0.051
ZTF19abplfxs,SN2019njp,03:26:45.75,+01:10:59.9,722.94,g,17.7974,-19.19,21.441,9.647,11.794,SN Ia,0.0485,-43.13608298,0.309
ZTF21aalxpnl,SN2021dhf,14:06:46.15,+06:22:17.6,1264.91,g,18.8276,-19.02,34.797,6.697,28.1,SN Ia,0.08175,62.59088426,0.068
ZTF22abkpgpa,SN2022wpy,04:46:28.02,-04:47:23.6,1871.96,g,14.8151,-19.39,22.86,8.807,14.053,SN Ia,0.0152,-29.87232478,0.1
ZTF20acmzoxo,SN2020yfw,22:04:49.27,+16:51:23.9,1157.81,g,16.8323,-18.75,22.7,6.887,15.813,SN Ia,0.028,-30.27652548,0.143
ZTF18acdzzyf,SN2018ieu,02:07:10.86,-09:01:28.7,447.84,r,17.9799,-18.29,30.138,15.305,14.833,SN Ia,0.0405,-64.54575384,0.059
ZTF22abmucza,SN2022xwi,21:18:37.44,-25:32:41.2,1879.63,r,18.1173,-19.08,26.612,9.013,17.599,SN Ia,0.06,-42.65627267,0.13
ZTF20acpklpq,SN2020zwg,00:08:19.39,+45:23:33.2,1178.72,r,18.5955,-19.56,20.976,11.325,9.651,SN Ia,0.09,-16.81786134,0.213
ZTF21acdwvwo,SN2021zqc,18:32:26.14,+51:34:07.6,1490.68,g,17.2864,-18.24,31.425,4.48,26.945,SN Ia,0.028,23.76675561,0.091
ZTF21abcmepi,SN2021nlj,12:31:27.02,+04:13:35.3,1369.73,g,18.5892,-19.44,32.91,9.527,23.383,SN Ia,0.089,66.60651695,0.065
ZTF19aazgpar,SN2019hko,17:26:21.12,+19:37:14.2,657.73,g,18.7865,-19.41,24.285,10.088,14.197,SN Ia,0.09,27.2094542,0.18
ZTF19acxphhl,SN2019wej,11:55:50.12,+44:08:19.5,829.06,g,18.5425,-19.03,27.332,9.384,17.948,SN Ia,0.07322,69.64358583,0.043
ZTF19aavmgtv,SN2019gcm,14:23:43.23,+28:20:51.9,639.78,r,17.1853,-18.36,17.092,8.065,9.027,SN Ia,0.0292,69.57503828,0.053
ZTF19aatzlmw,SN2019eow,17:13:59.19,+03:29:32.6,616.88,r,18.7329,-19.11,29.582,8.731,20.851,SN Ia,0.07,23.21789814,0.506
ZTF20aavhire,SN2020hfk,13:53:28.15,+07:54:34.5,965.81,r,17.0147,-19.09,23.849,11.547,12.302,SN Ia,0.0374,65.80787016,0.074
ZTF19acylgic,SN2019wku,05:17:21.47,+12:31:02.5,838.73,r,17.7289,-19.79,30.868,11.854,19.014,SN Ia,0.039,-14.35300936,1.661
ZTF22aarvtbb,SN2022ohu,16:25:24.61,+62:39:25.0,1776.74,r,18.9494,-19.37,27.005,9.776,17.229,SN Ia,0.103,40.40872812,0.055
ZTF22aaszlph,SN2022owf,23:26:09.96,+27:42:02.9,1787.88,g,18.1824,-19.56,22.347,10.964,11.383,SN Ia,0.07,-31.47320091,0.262
ZTF21aatlesr,SN2021ipb,16:03:32.98,+14:33:08.0,1328.83,g,16.5056,-19.67,23.99,10.598,13.392,SN Ia,0.03691,43.68339684,0.132
ZTF20aabqkla,SN2019yfu,12:45:36.36,+01:11:01.0,851.04,g,18.6113,-19.29,40.758,18.082,22.676,SN Ia,0.0845,64.01762427,0.053
ZTF20aadvaoi,SN2020zk,06:51:10.73,+65:35:34.4,864.68,g,18.8441,-19.34,24.2,7.538,16.662,SN Ia,0.09,24.50801205,0.172
ZTF20acwkwqn,SN2020acdw,07:02:44.93,+26:30:03.3,1199.92,g,18.287,-19.37,26.344,7.294,19.05,SN Ia,0.07,14.04951247,0.194
ZTF19aakpcfy,SN2019bas,16:26:51.71,+29:23:08.5,544.03,g,18.1573,-19.60,25.524,7.538,17.986,SN Ia,0.07831,42.93253891,0.075
ZTF20aaodkvl,SN2020csx,16:41:41.06,+68:30:55.8,906.03,g,16.4166,-18.94,18.408,7.576,10.832,SN Ia,0.026,36.80864302,0.089
ZTF22aakynop,SN2022kyu,19:14:40.10,+35:26:50.6,1737.91,g,18.6144,-19.28,24.605,10.135,14.47,SN Ia,0.073,11.0162873,0.312
ZTF18actacux,SN2018jnd,04:49:25.49,-13:36:59.8,462.84,g,18.6707,-19.64,30.746,13.697,17.049,SN Ia,0.09,-33.12041002,0.273
ZTF21abrskvb,SN2021vkr,20:35:46.97,+05:27:32.4,1444.75,r,18.9756,-19.05,17.972,9.929,8.043,SN Ia,0.083,-20.25458488,0.275
ZTF18aamvfeb,SN2022klh,15:21:19.26,+34:17:46.9,1733.8,g,16.6661,-19.07,23.207,9.25,13.957,SN Ia,0.03149,57.19048332,0.058
ZTF18aaxxfah,SN2018cdy,14:54:48.40,+05:30:26.7,273.82,r,18.1743,-19.07,19.785,1.316,18.469,SN Ia,0.062,53.54889664,0.105
ZTF21aagnwkk,SN2021bne,09:27:57.10,+12:47:28.6,1248.79,g,18.9997,-19.62,24.886,6.914,17.972,SN Ia,0.113,40.44020756,0.114
ZTF23aabtgej,SN2023bee,08:56:11.62,-03:19:32.0,1994.82,g,13.084,-19.27,27.904,11.067,16.837,SN Ia,0.00669,25.70028148,0.045
ZTF19abwswzb,SN2019pkg,00:46:08.02,+09:08:23.2,748.68,g,17.0887,-19.36,21.991,9.991,12,SN Ia,0.041,-53.70909509,0.17
ZTF18aafpfwr,SN2021yle,06:57:22.61,+21:40:15.3,1471.97,r,18.602,-19.23,27.342,12.677,14.665,SN Ia,0.078,10.94204654,0.209
ZTF21abuibjs,SN2021win,05:06:19.35,+22:30:44.6,1461.99,r,15.2068,-19.39,24.869,10.482,14.387,SN Ia,0.013,-10.9186967,1.03
ZTF21aaabzsj,SN2021R,15:00:29.22,+22:23:05.2,1220.02,r,18.2613,-18.82,22.024,8.564,13.46,SN Ia,0.05735,60.40366387,0.121
ZTF20acgznau,SN2020vas,22:53:11.65,+11:06:48.7,1138.71,g,18.6111,-19.10,23.376,8.421,14.955,SN Ia,0.07,-42.20061993,0.242
ZTF18abeecwe,SN2018dje,17:52:50.55,+21:22:57.5,318.77,r,17.2297,-19.15,26.407,8.452,17.955,SN Ia,0.04,22.07562312,0.228
ZTF20abyppuk,SN2020tct,21:26:21.99,+26:31:14.0,1112.78,g,18.3424,-19.74,27.344,10.409,16.935,SN Ia,0.08,-17.13629961,0.302
ZTF23abrzezc,SN2023zii,03:59:19.56,+30:14:30.7,2295.8,r,18.3103,-18.87,26.487,7.623,18.864,SN Ia,0.04,-17.1564599,1.187
ZTF18accjdgs,SN2019ses,00:19:54.36,+15:57:40.3,773.66,g,18.3152,-19.67,23.027,8.009,15.018,SN Ia,0.0828,-46.23646429,0.154
ZTF24aacyttg,SN2024akc,13:38:29.39,+67:01:27.1,2341.78,g,18.9159,-18.10,21.861,11.96,9.901,SN Ia,0.05680,49.45686318,0.048
ZTF18abdiqdh,SN2018ddh,12:18:44.03,+44:46:55.0,319.71,r,17.1311,-19.00,29.864,13.864,16,SN Ia,0.03834,71.17112263,0.034
ZTF23abavxmm,SN2023rou,23:31:26.41,+28:13:50.6,2204.88,r,18.1999,-19.14,21.406,9.551,11.855,SN Ia,0.061,-31.40909768,0.267
ZTF19abitbcj,SN2019lwe,15:59:31.46,+43:25:46.5,708.66,g,17.1344,-19.00,25.648,12.893,12.755,SN Ia,0.038,48.94583655,0.043
ZTF21acfcthx,SN2021aagn,22:53:55.20,-24:30:14.7,1502.73,g,18.5729,-19.51,25.046,8.874,16.172,SN Ia,0.091,-63.48261286,0.067
ZTF23aajiucf,SN2023hzw,14:09:15.67,-04:15:08.9,2089.75,r,18.9571,-19.55,32.906,11.03,21.876,SN Ia,0.11,53.42191541,0.101
ZTF20acyyavb,SN2020aeth,11:41:28.41,-02:15:03.2,1217.04,g,17.4547,-19.22,18.743,5.438,13.305,SN Ia,0.048,56.12687545,0.065
ZTF22abdlohy,SN2022shl,00:10:29.92,+42:36:10.6,1829.91,g,17.251,-18.60,19.436,6.999,12.437,SN Ia,0.031,-19.63330771,0.18
ZTF20aadcitq,SN2020es,13:39:14.56,+38:59:46.1,862.98,g,18.3707,-19.38,20.343,5.498,14.845,SN Ia,0.08028,74.50038156,0.023
ZTF20achncqp,SN2020vqg,08:03:30.62,+64:06:32.8,1139.91,g,18.7904,-19.61,29.002,8.941,20.061,SN Ia,0.1,32.0341558,0.158
ZTF19acojuzv,SN2019uee,07:24:59.45,+55:23:40.5,806.02,g,17.18,-19.27,23.099,9.214,13.885,SN Ia,0.04,26.68262736,0.213
ZTF18ablrljh,SN2018ert,16:35:22.53,+22:28:06.3,346.68,r,18.8561,-19.34,20.362,13.323,7.039,SN Ia,0.094,39.37171353,0.145
ZTF20aambbfn,SN2020bzv,10:33:29.90,+49:19:02.1,894.78,r,18.3019,-18.11,18.112,7.976,10.136,SN Ia,0.0439,55.48685349,0.022
ZTF23aaieqvr,SN2023hdt,13:33:22.43,+44:20:15.3,2076.79,g,18.6587,-19.08,22.336,10.89,11.446,SN Ia,0.079,70.83974304,0.042
ZTF19acxovkl,SN2019wcd,10:05:00.20,-04:48:02.1,827.94,r,18.5532,-18.62,23.451,7.493,15.958,SN Ia,0.06,38.67829482,0.105
ZTF21aantxma,AT2023xu,10:41:54.47,+58:15:00.2,1291.78,g,18.3343,-19.12,26.814,16.016,10.798,SN Ia,0.07023,51.5585095,0.02
ZTF18aazblzy,SN2018cri,16:11:21.47,+36:59:39.4,290.71,g,18.2576,-19.01,18.735,6.689,12.046,SN Ia,0.064,47.01111287,0.037
ZTF20acitbmh,SN2020wie,07:00:37.41,+35:02:50.1,1143.91,g,18.4031,-19.23,31.793,9.463,22.33,SN Ia,0.07,16.92057447,0.176
ZTF23aaaehem,SN2023zb,07:03:28.28,+27:37:59.5,1965.72,g,16.3895,-19.32,23.944,6.454,17.49,SN Ia,0.029,14.64749361,0.182
ZTF22abnmpty,SN2022xwh,21:48:23.06,+06:50:09.9,1881.74,r,18.6408,-19.09,25.447,10.529,14.918,SN Ia,0.075,-34.20707342,0.191
ZTF20abjubmm,SN2020oer,16:20:43.27,+37:19:51.3,1052.76,r,18.6231,-19.20,25.347,12.39,12.957,SN Ia,0.08273,45.15960148,0.039
ZTF20aalmeaj,SN2020bqt,07:49:07.00,+12:05:28.3,896.77,r,18.4076,-18.18,22.146,12.27,9.876,SN Ia,0.04665,18.193417,0.072
ZTF19aakrnqh,SN2019bns,13:26:53.34,+57:27:49.4,547.97,r,18.9422,-19.52,35.45,16.214,19.236,SN Ia,0.111,59.02248052,0.023
ZTF19abhpvfq,SN2019lqv,21:29:30.17,-23:06:55.3,695.84,r,17.1989,-18.72,28.727,9.833,18.894,SN Ia,0.03356,-44.41446106,0.131
ZTF20accodxy,SN2020uog,21:17:02.72,-09:02:33.5,1123.77,r,18.6514,-19.22,21.263,4.385,16.878,SN Ia,0.075,-36.38866975,0.359
ZTF19aaoyjoz,SN2019cxe,12:00:55.34,+10:34:36.0,596.75,r,18.2083,-18.99,26.393,14.403,11.99,SN Ia,0.0615,69.61897184,0.072
ZTF19aafncsv,SN2019agm,16:36:45.59,+18:41:14.9,527.04,r,17.1782,-19.02,30.613,11.234,19.379,SN Ia,0.037,37.84292507,0.209
ZTF18acpefgk,SN2018jes,08:59:46.18,-02:56:32.6,450.98,g,18.9049,-19.56,23.445,9.857,13.588,SN Ia,0.11,26.65927654,0.039
ZTF18acbufud,SN2018hrs,01:55:09.98,+02:29:04.8,422.82,r,18.9262,-18.96,21.425,12.343,9.082,SN Ia,0.084,-56.6396434,0.068
ZTF19abajuqh,SN2019ibd,21:41:46.20,+07:12:09.5,669.92,r,17.9207,-19.55,26.054,13.399,12.655,SN Ia,0.068,-32.70357287,0.139
ZTF21aavqwhh,SN2021kkf,18:30:05.05,+35:26:02.6,1334.96,g,18.2547,-19.36,27.835,12.327,15.508,SN Ia,0.07,19.38004145,0.157
ZTF22abswuyy,SN2022zqu,05:54:54.53,-22:57:47.4,1900.94,g,17.4311,-19.47,29.132,8.628,20.504,SN Ia,0.052,-22.20848214,0.112
ZTF20aaaxrad,SN2020ht,07:12:22.67,+60:50:43.5,860.78,r,18.3219,-19.07,20.001,9.239,10.762,SN Ia,0.065,25.96206519,0.163
ZTF21abdhetx,SN2021obh,18:15:32.14,+06:43:28.0,1373.89,r,18.547,-18.99,24.515,6.701,17.814,SN Ia,0.059,11.02803473,0.588
ZTF18aahfbqp,SN2020acua,10:26:42.84,+21:43:26.1,1205.93,g,16.97,-19.37,20.957,4.924,16.033,SN Ia,0.04136,56.73218181,0.063
ZTF21achyvno,SN2021abym,09:12:35.86,+34:51:18.1,1518.96,g,17.7537,-19.61,25.336,10.651,14.685,SN Ia,0.066,43.04053028,0.057
ZTF21abisowq,SN2021scx,17:21:49.65,+24:57:08.6,1409.78,r,18.4717,-18.81,25.741,10.604,15.137,SN Ia,0.062,29.99274206,0.154
ZTF19aapcxiy,SN2019dfb,09:45:28.83,-07:36:43.6,592.73,r,18.7437,-19.30,26.527,9.603,16.924,SN Ia,0.09,33.15767395,0.081
ZTF20acwoamm,SN2020aced,08:31:13.48,+18:43:09.1,1200.91,g,17.8043,-19.63,25.377,8.294,17.083,SN Ia,0.067,30.12304872,0.091
ZTF21aaixlfe,SN2021ckg,04:43:08.61,+00:44:40.0,1263.67,r,17.5729,-18.47,21.278,6.936,14.342,SN Ia,0.03401,-27.81554953,0.248
ZTF22aajhtpy,SN2022jnr,15:02:39.47,+17:14:23.4,1719.78,r,17.4534,-18.51,18.557,7.523,11.034,SN Ia,0.035,58.16655136,0.075
ZTF23aaizgvi,SN2023huy,13:15:50.77,-16:12:18.3,2088.79,g,16.5077,-19.34,24.22,10.316,13.904,SN Ia,0.0305,46.26383469,0.208
ZTF21abhzicj,SN2021qzn,14:42:14.62,+61:57:20.4,1404.72,r,17.6391,-18.55,24.658,9.617,15.041,SN Ia,0.03946,50.61667163,0.034
ZTF18abuhyjv,SN2018gjt,02:36:15.64,-01:11:58.8,385.95,g,17.1018,-19.56,30.887,8.379,22.508,SN Ia,0.0471,-53.88943662,0.093
ZTF19acekbyz,SN2019sla,08:08:28.74,+01:28:26.3,780.0,g,18.3302,-18.92,22.298,10.306,11.992,SN Ia,0.062,17.77043516,0.082
ZTF21aaabucr,SN2021dj,13:55:06.54,+54:18:17.6,1224.05,g,18.1269,-19.34,32.039,7.132,24.907,SN Ia,0.07,60.42296043,0.033
ZTF22aajjlin,SN2022jqr,20:52:43.18,-07:15:08.4,1718.92,r,18.5249,-19.69,26.34,10.09,16.25,SN Ia,0.094,-30.21627907,0.171
ZTF21aaqpykm,SN2021hay,15:18:09.44,+15:10:34.6,1307.88,g,18.3473,-18.83,25.07,8.14,16.93,SN Ia,0.06,53.92396436,0.077
ZTF22abpzyzz,SN2022yuj,07:50:11.22,+37:26:52.6,1883.98,g,18.5207,-19.30,21.419,6.481,14.938,SN Ia,0.0764,27.15522413,0.171
ZTF20abswgbn,SN2020rkc,23:51:07.82,-19:47:30.5,1089.87,g,18.6267,-19.53,25.946,13.377,12.569,SN Ia,0.095,-74.36272253,0.052
ZTF23aacdiao,SN2023bun,13:47:59.23,+47:24:23.0,1993.93,g,17.9263,-19.90,35.68,8.619,27.061,SN Ia,0.082,66.89383141,0.047
ZTF19aatgopg,SN2019eoc,11:32:13.74,+07:06:49.9,612.69,r,18.3792,-19.25,28.96,6.974,21.986,SN Ia,0.0732,62.54642248,0.125
ZTF19acxowwt,SN2019wiv,09:48:30.42,+57:14:24.4,833.99,r,18.4132,-18.67,22.676,9.705,12.971,SN Ia,0.0593,46.0224467,0.029
ZTF18aavvnzu,SN2021jwq,18:00:55.23,+52:44:22.7,1334.95,g,17.401,-19.42,25.782,8.718,17.064,SN Ia,0.0498,28.73300405,0.121
ZTF20aascwar,SN2020dwg,15:58:24.80,+32:58:08.0,936.94,r,18.1435,-18.54,36.125,23.927,12.198,SN Ia,0.048,49.44697221,0.106
ZTF20abbpory,SN2020lek,20:04:08.13,+71:02:10.9,1004.8,r,18.6726,-19.15,20.029,7.984,12.045,SN Ia,0.06,19.93951217,0.889
ZTF21acionva,SN2021acmw,07:01:16.92,+45:54:39.7,1527.87,r,18.7511,-18.90,37.461,15.991,21.47,SN Ia,0.071,20.73868772,0.237
ZTF23abpuxjl,SN2023xim,23:53:59.98,-22:33:51.2,2262.71,g,18.2708,-18.92,15.516,3.633,11.883,SN Ia,0.061,-76.20448615,0.059
ZTF19achagst,SN2019tbo,07:30:36.04,+45:12:43.3,790.98,r,18.541,-18.99,24.653,9.649,15.004,SN Ia,0.068,25.48282775,0.211
ZTF20acsfdnn,SN2020aawb,11:23:02.40,+34:09:08.5,1188.02,g,18.7011,-19.35,22.859,11.146,11.713,SN Ia,0.09,69.78215891,0.06
ZTF18aadzfso,SN2020biz,07:07:17.67,+43:18:59.1,892.78,r,18.4235,-18.49,24.772,13.835,10.937,SN Ia,0.05,20.95187636,0.279
ZTF23aaawixk,SN2023asm,03:41:09.32,+16:29:31.9,1984.67,g,18.0867,-19.86,31.941,10.521,21.42,SN Ia,0.06,-30.02871828,0.719
ZTF23aansrmz,SN2023kzq,17:19:23.29,+54:06:11.2,2122.79,r,18.6779,-19.06,24.587,10.531,14.056,SN Ia,0.07853,34.98629555,0.077
ZTF19aalyleg,SN2019brb,06:48:52.77,+19:21:07.0,559.7,r,18.7148,-19.05,20.475,7.087,13.388,SN Ia,0.071,8.14763589,0.373
ZTF22abvrtgj,SN2022abjn,04:43:05.61,-12:27:14.0,1922.79,g,18.0889,-19.18,23.227,13.691,9.536,SN Ia,0.055,-34.05350691,0.312
ZTF19abucvgu,SN2019pbp,05:10:41.71,-18:36:26.1,737.0,g,17.6647,-19.19,26.02,8.853,17.167,SN Ia,0.05,-30.29378656,0.139
ZTF23abayogx,SN2023rla,01:02:03.10,-05:22:29.3,2203.86,g,17.8952,-19.53,24.172,7.162,17.01,SN Ia,0.064,-68.10010752,0.163
ZTF21aappehx,SN2021gwu,09:16:25.05,-17:21:22.0,1296.73,r,18.3276,-18.63,20.278,8.282,11.996,SN Ia,0.05451,21.4821254,0.107
ZTF21aaabubo,SN2020aerf,15:27:44.73,+61:36:05.1,1219.95,g,18.3138,-19.46,19.339,7.688,11.651,SN Ia,0.08,46.86174719,0.046
ZTF22aaoqlos,SN2022ney,18:07:56.44,+68:58:34.0,1761.85,r,18.6795,-18.39,16.05,10.297,5.753,SN Ia,0.056,29.06930758,0.164
ZTF20aaevbvv,SN2020tn,07:03:22.72,+33:00:49.8,867.71,g,17.8775,-19.50,26.511,7.463,19.048,SN Ia,0.06,16.69672648,0.247
ZTF20aamqslk,SN2020chn,11:21:14.54,+38:46:19.5,899.87,g,18.4868,-19.49,24.767,8.938,15.829,SN Ia,0.0864,67.87693104,0.073
ZTF18abmxfrc,SN2018fin,16:51:00.82,+25:52:33.5,359.71,r,18.1032,-19.17,29.645,10.779,18.866,SN Ia,0.06,36.91758955,0.226
ZTF20acoqlav,SN2020yvj,00:07:09.58,+39:10:15.7,1164.76,g,18.5175,-19.76,28.96,9.594,19.366,SN Ia,0.09,-22.89976,0.248
ZTF20acikzzn,SN2020vzm,04:36:36.44,+21:07:58.9,1143.84,r,18.9716,-19.24,40.904,17.471,23.433,SN Ia,0.065,-17.23472455,1.146
ZTF20acwphqb,SN2020acej,12:02:14.94,+14:18:42.2,1200.96,g,18.3967,-19.44,23.972,7.901,16.071,SN Ia,0.08,72.80396833,0.098
ZTF20acvkjrm,SN2020abun,12:36:05.86,+51:30:02.3,1200.98,g,18.5035,-19.54,28.546,12.482,16.064,SN Ia,0.09069,65.45606509,0.039
ZTF19acbpxwt,SN2019rqd,16:03:56.85,+65:40:16.1,766.67,g,17.9589,-19.55,20.897,6.309,14.588,SN Ia,0.07,41.31697488,0.07
